pathway_id,from_stop_id,to_stop_id,traversal_time,wheelchair_traversal_time
pathways_182,B08,entrance_399,36,
pathways_183,entrance_400,R13,35,
pathways_184,R13,entrance_400,35,
pathways_185,entrance_401,R13,36,
pathways_186,R13,entrance_401,36,
pathways_187,entrance_403,B08,36,
pathways_188,B08,entrance_403,36,
pathways_189,entrance_405,629,51,
pathways_190,629,entrance_405,51,
pathways_191,entrance_405,R11,45,
pathways_192,R11,entrance_405,45,
pathways_193,entrance_406,629,52,
pathways_194,629,entrance_406,52,
pathways_195,entrance_406,R11,44,
pathways_196,R11,entrance_406,44,
pathways_197,entrance_407,629,55,
pathways_198,629,entrance_407,55,
pathways_199,entrance_407,R11,49,
pathways_200,R11,entrance_407,49,
pathways_201,entrance_408,629,56,
pathways_202,629,entrance_408,56,
pathways_203,entrance_408,R11,48,
pathways_204,R11,entrance_408,48,
pathways_205,entrance_449,D15,47,
pathways_206,D15,entrance_449,47,
pathways_207,entrance_450,D15,46,
pathways_208,D15,entrance_450,46,
pathways_209,entrance_451,D15,43,
pathways_210,D15,entrance_451,43,
pathways_211,entrance_452,D15,45,
pathways_212,D15,entrance_452,45,
pathways_213,entrance_453,D15,33,
pathways_214,D15,entrance_453,33,
pathways_215,entrance_454,D14,31,
pathways_216,D14,entrance_454,31,
pathways_217,entrance_455,D14,31,
pathways_218,D14,entrance_455,31,
pathways_219,entrance_456,D14,45,
pathways_220,D14,entrance_456,45,
pathways_221,entrance_457,D14,46,
pathways_222,D14,entrance_457,46,
pathways_223,entrance_458,125,61,
pathways_224,125,entrance_458,61,
pathways_225,entrance_458,A24,62,
pathways_226,A24,entrance_458,62,
pathways_227,entrance_459,125,47,
pathways_228,125,entrance_459,47,
pathways_229,entrance_459,A24,48,
pathways_230,A24,entrance_459,48,
pathways_231,entrance_460,125,43,
pathways_232,125,entrance_460,43,
pathways_233,entrance_460,A24,45,
pathways_234,A24,entrance_460,45,
pathways_235,entrance_461,125,39,
pathways_236,125,entrance_461,39,
pathways_237,entrance_461,A24,38,
pathways_238,A24,entrance_461,38,
pathways_239,entrance_462,125,41,
pathways_240,125,entrance_462,41,
pathways_241,entrance_462,A24,41,
pathways_242,A24,entrance_462,41,
pathways_243,entrance_473,125,43,
pathways_244,125,entrance_473,43,
pathways_245,entrance_473,A24,43,
pathways_246,A24,entrance_473,43,
pathways_247,entrance_474,D15,36,
pathways_248,D15,entrance_474,36,
pathways_249,entrance_475,125,42,
pathways_250,125,entrance_475,42,
pathways_251,entrance_475,A24,42,
pathways_252,A24,entrance_475,42,
pathways_253,entrance_476,D15,39,
pathways_254,D15,entrance_476,39,
pathways_255,entrance_477,B10,78,
pathways_256,B10,entrance_477,78,
pathways_257,entrance_478,125,42,
pathways_258,125,entrance_478,42,
pathways_259,entrance_478,A24,39,
pathways_260,A24,entrance_478,39,
pathways_261,entrance_479,D15,33,
pathways_262,D15,entrance_479,33,
pathways_263,entrance_480,R14,38,
pathways_264,R14,entrance_480,38,
pathways_265,entrance_481,724,42,
pathways_266,724,entrance_481,42,
pathways_267,entrance_481,D16,42,
pathways_268,D16,entrance_481,42,
pathways_269,entrance_482,D15,32,
pathways_270,D15,entrance_482,32,
pathways_271,entrance_483,D15,46,
pathways_272,D15,entrance_483,46,
pathways_273,entrance_484,R14,41,
pathways_274,R14,entrance_484,41,
pathways_275,entrance_485,D15,39,
pathways_276,D15,entrance_485,39,
pathways_277,entrance_486,R14,39,
pathways_278,R14,entrance_486,39,
pathways_279,entrance_487,D15,56,
pathways_280,D15,entrance_487,56,
pathways_281,entrance_488,D15,45,
pathways_282,D15,entrance_488,45,
pathways_283,entrance_489,D15,61,
pathways_284,D15,entrance_489,61,
pathways_285,entrance_490,R14,45,
pathways_286,R14,entrance_490,45,
pathways_287,entrance_492,D15,69,
pathways_288,D15,entrance_492,69,
pathways_289,entrance_493,D15,60,
pathways_290,D15,entrance_493,60,
pathways_291,entrance_495,R14,44,
pathways_292,R14,entrance_495,44,
pathways_293,entrance_496,R14,54,
pathways_294,R14,entrance_496,54,
pathways_295,entrance_498,A25,48,
pathways_296,A25,entrance_498,48,
pathways_297,entrance_499,127,42,
pathways_298,127,entrance_499,42,
pathways_299,entrance_499,725,41,
pathways_300,725,entrance_499,41,
pathways_301,entrance_499,902,39,
pathways_302,902,entrance_499,39,
pathways_303,entrance_499,A27,77,
pathways_304,A27,entrance_499,77,
pathways_305,entrance_499,R16,51,
pathways_306,R16,entrance_499,51,
pathways_307,entrance_500,A25,48,
pathways_308,A25,entrance_500,48,
pathways_309,entrance_501,127,54,
pathways_310,127,entrance_501,54,
pathways_311,entrance_501,725,58,
pathways_312,725,entrance_501,58,
pathways_313,entrance_501,902,66,
pathways_314,902,entrance_501,66,
pathways_315,entrance_501,A27,39,
pathways_316,A27,entrance_501,39,
pathways_317,entrance_501,R16,39,
pathways_318,R16,entrance_501,39,
pathways_319,entrance_502,A25,42,
pathways_320,A25,entrance_502,42,
pathways_321,entrance_503,127,52,
pathways_322,127,entrance_503,52,
pathways_323,entrance_503,725,56,
pathways_324,725,entrance_503,56,
pathways_325,entrance_503,902,63,
pathways_326,902,entrance_503,63,
pathways_327,entrance_503,A27,37,
pathways_328,A27,entrance_503,37,
pathways_329,entrance_503,R16,37,
pathways_330,R16,entrance_503,37,
pathways_331,entrance_503,A27,37,
pathways_332,A27,entrance_503,37,
pathways_333,entrance_504,A25,35,
pathways_334,A25,entrance_504,35,
pathways_335,entrance_505,127,58,
pathways_336,127,entrance_505,58,
pathways_337,entrance_505,725,56,
pathways_338,725,entrance_505,56,
pathways_339,entrance_505,902,40,
pathways_340,902,entrance_505,40,
pathways_341,entrance_505,A27,75,
pathways_342,A27,entrance_505,75,
pathways_343,entrance_505,R16,66,
pathways_344,R16,entrance_505,66,
pathways_345,entrance_506,127,45,
pathways_346,127,entrance_506,45,
pathways_347,entrance_506,725,47,
pathways_348,725,entrance_506,47,
pathways_349,entrance_506,902,37,
pathways_350,902,entrance_506,37,
pathways_351,entrance_506,A27,84,
pathways_352,A27,entrance_506,84,
pathways_353,entrance_506,R16,49,
pathways_354,R16,entrance_506,49,
pathways_355,entrance_507,A25,34,
pathways_356,A25,entrance_507,34,
pathways_357,entrance_508,A25,37,
pathways_358,A25,entrance_508,37,
pathways_359,entrance_509,A25,35,
pathways_360,A25,entrance_509,35,
pathways_361,entrance_510,A25,41,
pathways_362,A25,entrance_510,41,
pathways_363,entrance_511,724,47,
pathways_364,724,entrance_511,47,
pathways_365,entrance_511,D16,47,
pathways_366,D16,entrance_511,47,
pathways_367,entrance_512,724,42,
pathways_368,724,entrance_512,42,
pathways_369,entrance_513,D16,46,
pathways_370,D16,entrance_512,42,
pathways_371,entrance_513,724,46,
pathways_372,724,entrance_513,46,
pathways_373,entrance_513,D16,46,
pathways_374,D16,entrance_513,46,
pathways_375,entrance_514,R15,42,
pathways_376,R15,entrance_514,42,
pathways_377,entrance_515,724,43,
pathways_378,724,entrance_515,43,
pathways_379,entrance_515,D16,43,
pathways_380,D16,entrance_515,43,
pathways_381,entrance_516,R15,42,
pathways_382,R15,entrance_516,42,
pathways_383,entrance_517,724,42,
pathways_384,724,entrance_517,42,
pathways_385,entrance_517,D16,42,
pathways_386,D16,entrance_517,42,
pathways_387,entrance_518,631,73,
pathways_388,631,entrance_518,73,
pathways_389,entrance_518,723,85,
pathways_390,723,entrance_518,85,
